t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
5.904,0,0,0,177853,58595,-66253,349571,170577,-218951,-202285,11257,117275,-354132,-209387,181181
5.912,0,0,0,177627,59006,-65934,349311,170220,-219048,-202356,11709,117559,-353931,-209504,180823
5.92,0,0,0,177400,59416,-65616,349049,169863,-219142,-202426,12160,117841,-353727,-209620,180464
5.928,0,0,0,177173,59825,-65300,348785,169506,-219235,-202495,12610,118121,-353521,-209733,180105
5.936,0,0,0,176946,60232,-64984,348519,169148,-219325,-202562,13059,118399,-353312,-209845,179746
5.944,0,0,0,176719,60637,-64671,348252,168791,-219413,-202628,13507,118676,-353102,-209955,179387
5.952,0,0,0,176492,61041,-64358,347982,168433,-219499,-202692,13953,118951,-352890,-210062,179028
5.96,0,0,0,176265,61442,-64047,347710,168076,-219583,-202756,14398,119225,-352675,-210168,178669
5.968,0,0,0,176038,61842,-63738,347437,167718,-219665,-202818,14841,119496,-352459,-210272,178310
5.976,0,0,0,175810,62240,-63430,347162,167361,-219745,-202878,15282,119765,-352241,-210374,177951
5.984,0,0,0,175583,62636,-63124,346886,167004,-219822,-202937,15722,120032,-352022,-210474,177592
5.992,0,0,0,175357,63030,-62819,346608,166647,-219898,-202995,16160,120298,-351801,-210571,177234
6,0,0,0,175130,63421,-62517,346329,166291,-219971,-203052,16596,120561,-351578,-210667,176877
6.008,0,0,0,174904,63810,-62216,346049,165936,-220042,-203107,17029,120822,-351354,-210761,176520
6.016,0,0,0,174678,64197,-61918,345768,165581,-220111,-203161,17461,121080,-351129,-210853,176163
6.024,0,0,0,174453,64582,-61621,345486,165227,-220178,-203213,17890,121337,-350902,-210943,175808
6.032,0,0,0,174228,64963,-61326,345203,164874,-220243,-203264,18318,121591,-350674,-211030,175453
6.04,0,0,0,174004,65343,-61034,344919,164521,-220306,-203314,18742,121843,-350446,-211116,175099
6.048,0,0,0,173780,65719,-60744,344634,164170,-220366,-203363,19164,122092,-350216,-211200,174747
6.056,0,0,0,173557,66093,-60456,344349,163820,-220425,-203410,19584,122339,-349985,-211282,174396
6.064,0,0,0,173335,66464,-60170,344064,163472,-220482,-203456,20000,122583,-349754,-211362,174046
6.072,0,0,0,173114,66831,-59887,343778,163125,-220536,-203500,20414,122825,-349522,-211440,173697
6.08,0,0,0,172894,67196,-59606,343492,162779,-220589,-203544,20825,123064,-349289,-211516,173350
6.088,0,0,0,172675,67558,-59328,343206,162435,-220640,-203586,21233,123301,-349056,-211590,173005
6.096,0,0,0,172456,67917,-59052,342919,162093,-220688,-203626,21637,123534,-348823,-211662,172661
6.104,0,0,0,172239,68272,-58779,342634,161752,-220735,-203666,22039,123765,-348589,-211733,172319
6.112,0,0,0,172023,68624,-58509,342348,161414,-220780,-203704,22437,123994,-348356,-211801,171980
6.12,0,0,0,171808,68972,-58241,342063,161077,-220823,-203741,22831,124219,-348122,-211868,171642
6.128,0,0,0,171595,69317,-57976,341778,160743,-220864,-203776,23222,124442,-347889,-211932,171306
6.136,0,0,0,171383,69659,-57715,341494,160411,-220904,-203811,23610,124661,-347656,-211995,170973
6.144,0,0,0,171173,69996,-57456,341211,160081,-220941,-203844,23993,124878,-347423,-212056,170642
6.152,0,0,0,170964,70330,-57200,340929,159754,-220977,-203876,24373,125092,-347190,-212115,170314
6.16,0,0,0,170756,70661,-56947,340648,159430,-221011,-203907,24749,125302,-346959,-212173,169989
6.168,0,0,0,170551,70987,-56697,340368,159108,-221044,-203936,25120,125510,-346728,-212228,169666
6.176,0,0,0,170347,71309,-56451,340090,158789,-221075,-203965,25488,125715,-346497,-212282,169346
6.184,0,0,0,170145,71627,-56208,339813,158473,-221104,-203992,25851,125916,-346268,-212335,169029
6.192,0,0,0,169945,71941,-55968,339537,158160,-221131,-204019,26210,126114,-346040,-212385,168715
6.2,0,0,0,169747,72251,-55731,339264,157851,-221157,-204044,26564,126309,-345813,-212434,168405
6.208,0,0,0,169551,72557,-55498,338992,157544,-221182,-204068,26914,126501,-345588,-212481,168097
6.216,0,0,0,169357,72858,-55268,338723,157241,-221205,-204091,27259,126690,-345364,-212527,167794
6.224,0,0,0,169166,73154,-55042,338455,156942,-221227,-204113,27599,126875,-345142,-212571,167494
6.232,0,0,0,168977,73446,-54820,338191,156646,-221247,-204134,27934,127057,-344921,-212613,167197
6.24,0,0,0,168790,73734,-54601,337928,156355,-221266,-204154,28264,127236,-344703,-212654,166905
6.248,0,0,0,168606,74016,-54386,337669,156067,-221283,-204173,28589,127411,-344486,-212694,166616
6.256,0,0,0,168424,74294,-54174,337412,155783,-221300,-204192,28909,127583,-344272,-212732,166332
6.264,0,0,0,168245,74567,-53966,337158,155503,-221315,-204209,29224,127751,-344060,-212768,166051
6.272,0,0,0,168068,74836,-53763,336907,155228,-221329,-204225,29533,127916,-343850,-212803,165775
6.28,0,0,0,167895,75099,-53563,336660,154957,-221342,-204241,29836,128077,-343643,-212837,165504
6.288,0,0,0,167724,75357,-53367,336416,154690,-221353,-204255,30134,128235,-343439,-212869,165237
6.296,0,0,0,167556,75609,-53175,336175,154429,-221364,-204269,30427,128389,-343237,-212900,164975
