t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
3.04,0,0,0,4953,15,-2477,21156,20555,-20739,-4954,-16,2476,-21157,-20556,20738
3.048,0,0,0,5880,22,-2941,22783,21488,-21685,-5881,-23,2940,-22784,-21489,21684
3.056,0,0,0,6811,30,-3406,24417,22424,-22634,-6812,-31,3405,-24418,-22425,22633
3.064,0,0,0,7744,38,-3872,26054,23361,-23585,-7745,-39,3871,-26055,-23362,23584
3.072,0,0,0,8677,48,-4339,27691,24297,-24536,-8678,-49,4338,-27692,-24298,24535
3.08,0,0,0,9610,59,-4805,29328,25231,-25486,-9611,-60,4804,-29329,-25232,25485
3.088,0,0,0,10541,72,-5271,30963,26164,-26433,-10542,-73,5270,-30964,-26165,26432
3.096,0,0,0,11471,85,-5735,32596,27094,-27379,-11472,-86,5734,-32597,-27095,27378
3.104,0,0,0,12399,99,-6199,34225,28021,-28322,-12400,-100,6198,-34226,-28022,28321
3.112,0,0,0,13326,115,-6662,35851,28946,-29263,-13327,-116,6661,-35852,-28947,29262
3.12,0,0,0,14250,131,-7124,37473,29867,-30201,-14251,-132,7123,-37474,-29868,30200
3.128,0,0,0,15172,149,-7585,39092,30785,-31136,-15173,-150,7584,-39093,-30786,31135
3.136,0,0,0,16091,167,-8044,40706,31701,-32068,-16092,-168,8043,-40707,-31702,32067
3.144,0,0,0,17008,187,-8502,42316,32612,-32997,-17009,-188,8501,-42317,-32613,32996
3.152,0,0,0,17923,208,-8959,43923,33521,-33923,-17924,-209,8958,-43924,-33522,33922
3.16,0,0,0,18835,230,-9415,45525,34426,-34846,-18836,-231,9414,-45526,-34427,34845
3.168,0,0,0,19745,252,-9869,47122,35327,-35766,-19746,-253,9868,-47123,-35328,35765
3.176,0,0,0,20652,276,-10322,48715,36226,-36683,-20653,-277,10321,-48716,-36227,36682
3.184,0,0,0,21556,301,-10773,50304,37120,-37596,-21557,-302,10772,-50305,-37121,37595
3.192,0,0,0,22458,327,-11224,51888,38012,-38507,-22459,-328,11223,-51889,-38013,38506
3.2,0,0,0,23357,353,-11672,53468,38900,-39414,-23358,-354,11671,-53469,-38901,39413
3.208,0,0,0,24254,381,-12120,55043,39784,-40318,-24255,-382,12119,-55044,-39785,40317
3.216,0,0,0,25148,410,-12566,56614,40665,-41219,-25149,-411,12565,-56615,-40666,41218
3.224,0,0,0,26039,439,-13010,58180,41543,-42116,-26040,-440,13009,-58181,-41544,42115
3.232,0,0,0,26927,470,-13453,59741,42417,-43011,-26928,-471,13452,-59742,-42418,43010
3.24,0,0,0,27813,501,-13895,61298,43287,-43902,-27814,-502,13894,-61299,-43288,43901
3.248,0,0,0,28695,534,-14335,62850,44155,-44790,-28696,-535,14334,-62851,-44156,44789
3.256,0,0,0,29576,567,-14774,64397,45018,-45674,-29577,-568,14773,-64398,-45019,45673
3.264,0,0,0,30453,601,-15211,65940,45878,-46556,-30454,-602,15210,-65941,-45879,46555
3.272,0,0,0,31327,636,-15647,67477,46735,-47434,-31328,-637,15646,-67478,-46736,47433
3.28,0,0,0,32199,672,-16081,69011,47588,-48309,-32200,-673,16080,-69012,-47589,48308
3.288,0,0,0,33068,709,-16514,70539,48438,-49180,-33069,-710,16513,-70540,-48439,49179
3.296,0,0,0,33934,747,-16946,72063,49284,-50049,-33935,-748,16945,-72064,-49285,50048
3.304,0,0,0,34797,785,-17376,73581,50127,-50914,-34798,-786,17375,-73582,-50128,50913
3.312,0,0,0,35657,825,-17804,75096,50966,-51776,-35658,-826,17803,-75097,-50967,51775
3.32,0,0,0,36515,865,-18231,76605,51801,-52634,-36516,-866,18230,-76606,-51802,52633
3.328,0,0,0,37369,906,-18656,78109,52634,-53490,-37370,-907,18655,-78110,-52635,53489
3.336,0,0,0,38221,948,-19080,79609,53462,-54342,-38222,-949,19079,-79610,-53463,54341
3.344,0,0,0,39070,990,-19502,81103,54288,-55191,-39071,-991,19501,-81104,-54289,55190
3.352,0,0,0,39916,1034,-19923,82593,55110,-56036,-39917,-1035,19922,-82594,-55111,56035
3.36,0,0,0,40759,1078,-20342,84078,55928,-56878,-40760,-1079,20341,-84079,-55929,56877
3.368,0,0,0,41599,1123,-20760,85558,56743,-57717,-41600,-1124,20759,-85559,-56744,57716
3.376,0,0,0,42436,1168,-21176,87033,57554,-58553,-42437,-1169,21175,-87034,-57555,58552
3.384,0,0,0,43271,1215,-21591,88504,58362,-59385,-43272,-1216,21590,-88505,-58363,59384
3.392,0,0,0,44102,1262,-22004,89969,59167,-60214,-44103,-1263,22003,-89970,-59168,60213
3.4,0,0,0,44930,1310,-22415,91429,59967,-61040,-44931,-1311,22414,-91430,-59968,61039
3.408,0,0,0,45756,1359,-22825,92885,60765,-61863,-45757,-1360,22824,-92886,-60766,61862
3.416,0,0,0,46578,1408,-23233,94335,61559,-62682,-46579,-1409,23232,-94336,-61560,62681
3.424,0,0,0,47398,1458,-23640,95780,62350,-63498,-47399,-1459,23639,-95781,-62351,63497
3.432,0,0,0,48214,1509,-24045,97221,63137,-64311,-48215,-1510,24044,-97222,-63138,64310
3.44,0,0,0,49028,1560,-24449,98656,63920,-65120,-49029,-1561,24448,-98657,-63921,65119
3.448,0,0,0,49839,1612,-24850,100087,64701,-65926,-49840,-1613,24849,-100088,-64702,65925
3.456,0,0,0,50646,1665,-25251,101512,65477,-66729,-50647,-1666,25250,-101513,-65478,66728
3.464,0,0,0,51451,1718,-25650,102932,66251,-67529,-51452,-1719,25649,-102933,-66252,67528
3.472,0,0,0,52252,1772,-26047,104348,67020,-68325,-52253,-1773,26046,-104349,-67021,68324
3.48,0,0,0,53051,1827,-26442,105758,67787,-69118,-53052,-1828,26441,-105759,-67788,69117
3.488,0,0,0,53846,1882,-26836,107163,68550,-69907,-53847,-1883,26835,-107164,-68551,69906
3.496,0,0,0,54639,1938,-27228,108563,69309,-70694,-54640,-1939,27227,-108564,-69310,70693
3.504,0,0,0,55428,1995,-27619,109958,70065,-71477,-55429,-1996,27618,-109959,-70066,71476
3.512,0,0,0,56214,2052,-28008,111348,70817,-72256,-56215,-2053,28007,-111349,-70818,72255
3.52,0,0,0,56997,2109,-28395,112732,71567,-73033,-56998,-2110,28394,-112733,-71568,73032
3.528,0,0,0,57778,2168,-28781,114112,72312,-73806,-57779,-2169,28780,-114113,-72313,73805
3.536,0,0,0,58555,2226,-29165,115486,73054,-74576,-58556,-2227,29164,-115487,-73055,74575
3.544,0,0,0,59329,2286,-29548,116855,73793,-75342,-59330,-2287,29547,-116856,-73794,75341
3.552,0,0,0,60099,2346,-29928,118219,74528,-76105,-60100,-2347,29927,-118220,-74529,76104
3.56,0,0,0,60867,2406,-30308,119578,75260,-76865,-60868,-2407,30307,-119579,-75261,76864
3.568,0,0,0,61632,2467,-30685,120931,75988,-77621,-61633,-2468,30684,-120932,-75989,77620
3.576,0,0,0,62393,2528,-31061,122279,76713,-78375,-62394,-2529,31060,-122280,-76714,78374
3.584,0,0,0,63152,2590,-31435,123622,77435,-79124,-63153,-2591,31434,-123623,-77436,79123
3.592,0,0,0,63907,2653,-31808,124960,78153,-79871,-63908,-2654,31807,-124961,-78154,79870
3.6,0,0,0,64659,2716,-32178,126293,78867,-80614,-64660,-2717,32177,-126294,-78868,80613
3.608,0,0,0,65408,2779,-32547,127620,79578,-81354,-65409,-2780,32546,-127621,-79579,81353
3.616,0,0,0,66154,2843,-32915,128942,80286,-82090,-66155,-2844,32914,-128943,-80287,82089
3.624,0,0,0,66896,2907,-33281,130258,80990,-82823,-66897,-2908,33280,-130259,-80991,82822
3.632,0,0,0,67636,2972,-33645,131569,81691,-83553,-67637,-2973,33644,-131570,-81692,83552
3.64,0,0,0,68372,3037,-34007,132875,82388,-84279,-68373,-3038,34006,-132876,-82389,84278
3.648,0,0,0,69105,3103,-34368,134175,83082,-85002,-69106,-3104,34367,-134176,-83083,85001
3.656,0,0,0,69835,3169,-34727,135471,83772,-85722,-69836,-3170,34726,-135472,-83773,85721
3.664,0,0,0,70562,3235,-35084,136760,84459,-86438,-70563,-3236,35083,-136761,-84460,86437
3.672,0,0,0,71285,3302,-35439,138044,85142,-87151,-71286,-3303,35438,-138045,-85143,87150
3.68,0,0,0,72005,3369,-35793,139323,85822,-87860,-72006,-3370,35792,-139324,-85823,87859
3.688,0,0,0,72722,3437,-36145,140597,86499,-88567,-72723,-3438,36144,-140598,-86500,88566
3.696,0,0,0,73436,3505,-36496,141864,87172,-89269,-73437,-3506,36495,-141865,-87173,89268
3.704,0,0,0,74146,3573,-36844,143127,87841,-89969,-74147,-3574,36843,-143128,-87842,89968
3.712,0,0,0,74853,3641,-37191,144384,88507,-90665,-74854,-3642,37190,-144385,-88508,90664
3.72,0,0,0,75557,3710,-37537,145635,89170,-91357,-75558,-3711,37536,-145636,-89171,91356
3.728,0,0,0,76258,3780,-37880,146881,89829,-92046,-76259,-3781,37879,-146882,-89830,92045
3.736,0,0,0,76955,3849,-38222,148121,90485,-92732,-76956,-3850,38221,-148122,-90486,92731
3.744,0,0,0,77649,3919,-38562,149356,91137,-93414,-77650,-3920,38561,-149357,-91138,93413
3.752,0,0,0,78340,3989,-38900,150585,91786,-94093,-78341,-3990,38899,-150586,-91787,94092
3.76,0,0,0,79027,4060,-39237,151809,92431,-94769,-79028,-4061,39236,-151810,-92432,94768
3.768,0,0,0,79711,4131,-39571,153027,93073,-95441,-79712,-4132,39570,-153028,-93074,95440
3.776,0,0,0,80392,4202,-39904,154239,93711,-96109,-80393,-4203,39903,-154240,-93712,96108
3.784,0,0,0,81069,4273,-40235,155446,94346,-96775,-81070,-4274,40234,-155447,-94347,96774
3.792,0,0,0,81743,4344,-40565,156647,94977,-97436,-81744,-4345,40564,-156648,-94978,97435
3.8,0,0,0,82414,4416,-40893,157842,95605,-98095,-82415,-4417,40892,-157843,-95606,98094
3.808,0,0,0,83081,4488,-41218,159032,96229,-98750,-83082,-4489,41217,-159033,-96230,98749
3.816,0,0,0,83745,4560,-41543,160216,96850,-99401,-83746,-4561,41542,-160217,-96851,99400
3.824,0,0,0,84406,4633,-41865,161394,97467,-100049,-84407,-4634,41864,-161395,-97468,100048
3.832,0,0,0,85063,4705,-42186,162566,98081,-100693,-85064,-4706,42185,-162567,-98082,100692
3.84,0,0,0,85717,4778,-42504,163733,98692,-101334,-85718,-4779,42503,-163734,-98693,101333
3.848,0,0,0,86367,4851,-42821,164894,99298,-101972,-86368,-4852,42820,-164895,-99299,101971
3.856,0,0,0,87014,4924,-43137,166049,99902,-102606,-87015,-4925,43136,-166050,-99903,102605
3.864,0,0,0,87658,4998,-43450,167198,100502,-103236,-87659,-4999,43449,-167199,-100503,103235
3.872,0,0,0,88298,5071,-43762,168341,101098,-103863,-88299,-5072,43761,-168342,-101099,103862
3.88,0,0,0,88934,5145,-44071,169478,101691,-104487,-88935,-5146,44070,-169479,-101692,104486
3.888,0,0,0,89567,5218,-44379,170610,102280,-105107,-89568,-5219,44378,-170611,-102281,105106
3.896,0,0,0,90197,5292,-44686,171736,102866,-105723,-90198,-5293,44685,-171737,-102867,105722
3.904,0,0,0,90823,5366,-44990,172855,103448,-106336,-90824,-5367,44989,-172856,-103449,106335
3.912,0,0,0,91446,5440,-45293,173969,104027,-106946,-91447,-5441,45292,-173970,-104028,106945
3.92,0,0,0,92065,5514,-45593,175077,104602,-107552,-92066,-5515,45592,-175078,-104603,107551
3.928,0,0,0,92681,5589,-45892,176179,105173,-108154,-92682,-5590,45891,-176180,-105174,108153
3.936,0,0,0,93293,5663,-46189,177274,105741,-108753,-93294,-5664,46188,-177275,-105742,108752
3.944,0,0,0,93901,5737,-46485,178364,106306,-109348,-93902,-5738,46484,-178365,-106307,109347
3.952,0,0,0,94506,5812,-46778,179448,106867,-109940,-94507,-5813,46777,-179449,-106868,109939
3.96,0,0,0,95108,5886,-47070,180525,107424,-110528,-95109,-5887,47069,-180526,-107425,110527
3.968,0,0,0,95706,5961,-47359,181597,107978,-111112,-95707,-5962,47358,-181598,-107979,111111
3.976,0,0,0,96300,6035,-47647,182662,108528,-111693,-96301,-6036,47646,-182663,-108529,111692
3.984,0,0,0,96891,6110,-47933,183721,109075,-112271,-96892,-6111,47932,-183722,-109076,112270
3.992,0,0,0,97478,6184,-48218,184774,109618,-112844,-97479,-6185,48217,-184775,-109619,112843
4,0,0,0,98062,6259,-48500,185821,110158,-113414,-98063,-6260,48499,-185822,-110159,113413
4.008,0,0,0,98642,6333,-48780,186862,110694,-113981,-98643,-6334,48779,-186863,-110695,113980
4.016,0,0,0,99218,6408,-49059,187896,111226,-114544,-99219,-6409,49058,-187897,-111227,114543
4.024,0,0,0,99791,6482,-49336,188924,111755,-115103,-99792,-6483,49335,-188925,-111756,115102
4.032,0,0,0,100360,6557,-49611,189946,112280,-115659,-100361,-6558,49610,-189947,-112281,115658
4.04,0,0,0,100926,6631,-49884,190962,112802,-116211,-100927,-6632,49883,-190963,-112803,116210
4.048,0,0,0,101487,6705,-50155,191971,113320,-116759,-101488,-6706,50154,-191972,-113321,116758
4.056,0,0,0,102046,6780,-50424,192974,113834,-117303,-102047,-6781,50423,-192975,-113835,117302
4.064,0,0,0,102600,6854,-50691,193971,114345,-117844,-102601,-6855,50690,-193972,-114346,117843
4.072,0,0,0,103151,6928,-50957,194961,114852,-118381,-103152,-6929,50956,-194962,-114853,118380
4.08,0,0,0,103698,7002,-51220,195945,115356,-118915,-103699,-7003,51219,-195946,-115357,118914
4.088,0,0,0,104241,7076,-51482,196922,115855,-119445,-104242,-7077,51481,-196923,-115856,119444
4.096,0,0,0,104781,7149,-51742,197893,116352,-119971,-104782,-7150,51741,-197894,-116353,119970
4.104,0,0,0,105316,7223,-52000,198857,116844,-120493,-105317,-7224,51999,-198858,-116845,120492
4.112,0,0,0,105849,7296,-52256,199815,117333,-121012,-105850,-7297,52255,-199816,-117334,121011
4.12,0,0,0,106377,7370,-52510,200766,117818,-121527,-106378,-7371,52509,-200767,-117819,121526
4.128,0,0,0,106901,7443,-52762,201711,118300,-122038,-106902,-7444,52761,-201712,-118301,122037
4.136,0,0,0,107422,7516,-53012,202649,118778,-122545,-107423,-7517,53011,-202650,-118779,122544
4.144,0,0,0,107939,7588,-53260,203580,119252,-123049,-107940,-7589,53259,-203581,-119253,123048
4.152,0,0,0,108452,7661,-53506,204505,119723,-123549,-108453,-7662,53505,-204506,-119724,123548
4.16,0,0,0,108961,7733,-53751,205423,120189,-124045,-108962,-7734,53750,-205424,-120190,124044
4.168,0,0,0,109467,7806,-53993,206335,120653,-124537,-109468,-7807,53992,-206336,-120654,124536
4.176,0,0,0,109968,7878,-54234,207239,121112,-125025,-109969,-7879,54233,-207240,-121113,125024
4.184,0,0,0,110466,7949,-54472,208137,121568,-125510,-110467,-7950,54471,-208138,-121569,125509
4.192,0,0,0,110960,8021,-54709,209028,122020,-125991,-110961,-8022,54708,-209029,-122021,125990
4.2,0,0,0,111450,8092,-54944,209913,122468,-126467,-111451,-8093,54943,-209914,-122469,126466
4.208,0,0,0,111936,8163,-55176,210790,122912,-126940,-111937,-8164,55175,-210791,-122913,126939
4.216,0,0,0,112418,8234,-55407,211661,123353,-127410,-112419,-8235,55406,-211662,-123354,127409
4.224,0,0,0,112896,8305,-55636,212525,123790,-127875,-112897,-8306,55635,-212526,-123791,127874
4.232,0,0,0,113370,8375,-55863,213382,124223,-128336,-113371,-8376,55862,-213383,-124224,128335
4.24,0,0,0,113840,8445,-56087,214231,124653,-128794,-113841,-8446,56086,-214232,-124654,128793
4.248,0,0,0,114307,8514,-56310,215074,125078,-129247,-114308,-8515,56309,-215075,-125079,129246
4.256,0,0,0,114769,8584,-56531,215910,125500,-129697,-114770,-8585,56530,-215911,-125501,129696
4.264,0,0,0,115227,8653,-56750,216739,125918,-130142,-115228,-8654,56749,-216740,-125919,130141
4.272,0,0,0,115681,8721,-56967,217561,126333,-130584,-115682,-8722,56966,-217562,-126334,130583
4.28,0,0,0,116132,8790,-57181,218375,126743,-131022,-116133,-8791,57180,-218376,-126744,131021
4.288,0,0,0,116578,8858,-57394,219183,127150,-131456,-116579,-8859,57393,-219184,-127151,131455
4.296,0,0,0,117020,8925,-57605,219983,127552,-131885,-117021,-8926,57604,-219984,-127553,131884
4.304,0,0,0,117458,8992,-57814,220776,127951,-132311,-117459,-8993,57813,-220777,-127952,132310
4.312,0,0,0,117892,9059,-58020,221562,128346,-132733,-117893,-9060,58019,-221563,-128347,132732
4.32,0,0,0,118322,9126,-58225,222341,128737,-133151,-118323,-9127,58224,-222342,-128738,133150
4.328,0,0,0,118747,9192,-58428,223112,129125,-133564,-118748,-9193,58427,-223113,-129126,133563
4.336,0,0,0,119169,9258,-58628,223876,129508,-133974,-119170,-9259,58627,-223877,-129509,133973
4.344,0,0,0,119586,9323,-58827,224633,129888,-134379,-119587,-9324,58826,-224634,-129889,134378
4.352,0,0,0,120000,9388,-59023,225382,130263,-134781,-120001,-9389,59022,-225383,-130264,134780
4.36,0,0,0,120409,9452,-59218,226124,130635,-135178,-120410,-9453,59217,-226125,-130636,135177
4.368,0,0,0,120813,9516,-59410,226858,131002,-135571,-120814,-9517,59409,-226859,-131003,135570
4.376,0,0,0,121214,9580,-59601,227585,131366,-135960,-121215,-9581,59600,-227586,-131367,135959
4.384,0,0,0,121610,9643,-59789,228305,131726,-136345,-121611,-9644,59788,-228306,-131727,136344
