t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
0.784,0,0,0,0,0,0,2297,2644,-2664,0,0,0,-2298,-2645,2663
0.792,0,0,0,16,16,16,2339,2692,-2713,16,16,16,-2340,-2693,2712
0.8,0,0,0,0,0,0,2381,2741,-2762,0,0,0,-2382,-2742,2761
0.808,0,0,0,16,16,16,2424,2790,-2812,16,16,16,-2425,-2791,2811
0.816,0,0,0,0,0,0,2467,2839,-2861,0,0,0,-2468,-2840,2860
0.824,0,0,0,16,16,16,2510,2889,-2911,16,16,16,-2511,-2890,2910
0.832,0,0,0,0,0,0,2553,2939,-2962,0,0,0,-2554,-2940,2961
0.84,0,0,0,16,16,16,2597,2989,-3012,16,16,16,-2598,-2990,3011
0.848,0,0,0,0,0,0,2641,3040,-3063,0,0,0,-2642,-3041,3062
0.856,0,0,0,16,16,16,2685,3090,-3114,16,16,16,-2686,-3091,3113
0.864,0,0,0,0,0,0,2730,3141,-3166,0,0,0,-2731,-3142,3165
0.872,0,0,0,16,16,16,2774,3193,-3218,16,16,16,-2775,-3194,3217
0.88,0,0,0,0,0,0,2819,3245,-3270,0,0,0,-2820,-3246,3269
0.888,0,0,0,16,16,16,2864,3296,-3322,16,16,16,-2865,-3297,3321
0.896,0,0,0,0,0,0,2910,3349,-3375,0,0,0,-2911,-3350,3374
0.904,0,0,0,16,16,16,2955,3401,-3428,16,16,16,-2956,-3402,3427
0.912,0,0,0,0,0,0,3001,3454,-3481,0,0,0,-3002,-3455,3480
0.92,0,0,0,16,16,16,3047,3507,-3534,16,16,16,-3048,-3508,3533
0.928,0,0,0,0,0,0,3093,3560,-3588,0,0,0,-3094,-3561,3587
0.936,0,0,0,16,16,16,3140,3614,-3642,16,16,16,-3141,-3615,3641
0.944,0,0,0,0,0,0,3187,3667,-3696,0,0,0,-3188,-3668,3695
0.952,0,0,0,16,16,16,3234,3721,-3750,16,16,16,-3235,-3722,3749
0.96,0,0,0,0,0,0,3281,3776,-3805,0,0,0,-3282,-3777,3804
0.968,0,0,0,16,16,16,3328,3830,-3860,16,16,16,-3329,-3831,3859
0.976,0,0,0,0,0,0,3376,3885,-3915,0,0,0,-3377,-3886,3914
0.984,0,0,0,16,16,16,3423,3940,-3970,16,16,16,-3424,-3941,3969
0.992,0,0,0,0,0,0,3471,3995,-4026,0,0,0,-3472,-3996,4025
1,0,0,0,16,16,16,3519,4050,-4082,16,16,16,-3520,-4051,4081
1.008,0,0,0,0,0,0,3568,4106,-4138,0,0,0,-3569,-4107,4137
1.016,0,0,0,16,16,16,3616,4162,-4194,16,16,16,-3617,-4163,4193
1.024,0,0,0,0,0,0,3665,4218,-4251,0,0,0,-3666,-4219,4250
1.032,0,0,0,16,16,16,3714,4274,-4307,16,16,16,-3715,-4275,4306
1.04,0,0,0,0,0,0,3763,4331,-4364,0,0,0,-3764,-4332,4363
1.048,0,0,0,16,16,16,3812,4387,-4421,16,16,16,-3813,-4388,4420
1.056,0,0,0,0,0,0,3862,4444,-4479,0,0,0,-3863,-4445,4478
1.064,0,0,0,16,16,16,3911,4501,-4536,16,16,16,-3912,-4502,4535
1.072,0,0,0,0,0,0,3961,4559,-4594,0,0,0,-3962,-4560,4593
1.08,0,0,0,16,16,16,4011,4616,-4652,16,16,16,-4012,-4617,4651
1.088,0,0,0,0,0,0,4061,4674,-4710,0,0,0,-4062,-4675,4709
1.096,0,0,0,16,16,16,4111,4732,-4768,16,16,16,-4112,-4733,4767
1.104,0,0,0,0,0,0,4162,4790,-4827,0,0,0,-4163,-4791,4826
1.112,0,0,0,16,16,16,4212,4848,-4885,16,16,16,-4213,-4849,4884
1.12,0,0,0,0,0,0,4263,4906,-4944,0,0,0,-4264,-4907,4943
1.128,0,0,0,16,16,16,4314,4965,-5003,16,16,16,-4315,-4966,5002
1.136,0,0,0,0,0,0,4365,5023,-5062,0,0,0,-4366,-5024,5061
1.144,0,0,0,16,16,16,4416,5082,-5121,16,16,16,-4417,-5083,5120
1.152,0,0,0,0,0,0,4467,5141,-5181,0,0,0,-4468,-5142,5180
1.16,0,0,0,16,16,16,4519,5200,-5240,16,16,16,-4520,-5201,5239
1.168,0,0,0,0,0,0,4570,5260,-5300,0,0,0,-4571,-5261,5299
1.176,0,0,0,16,16,16,4622,5319,-5360,16,16,16,-4623,-5320,5359
1.184,0,0,0,0,0,0,4674,5379,-5420,0,0,0,-4675,-5380,5419
1.192,0,0,0,16,16,16,4726,5439,-5480,16,16,16,-4727,-5440,5479
1.2,0,0,0,0,0,0,4778,5498,-5541,0,0,0,-4779,-5499,5540
1.208,0,0,0,16,16,16,4830,5558,-5601,16,16,16,-4831,-5559,5600
1.216,0,0,0,0,0,0,4882,5619,-5662,0,0,0,-4883,-5620,5661
1.224,0,0,0,16,16,16,4934,5679,-5722,16,16,16,-4935,-5680,5721
1.232,0,0,0,0,0,0,4987,5739,-5783,0,0,0,-4988,-5740,5782
1.24,0,0,0,16,16,16,5039,5800,-5844,16,16,16,-5040,-5801,5843
1.248,0,0,0,0,0,0,5092,5860,-5905,0,0,0,-5093,-5861,5904
1.256,0,0,0,16,16,16,5145,5921,-5966,16,16,16,-5146,-5922,5965
1.264,0,0,0,0,0,0,5198,5982,-6028,0,0,0,-5199,-5983,6027
1.272,0,0,0,16,16,16,5251,6043,-6089,16,16,16,-5252,-6044,6088
1.28,0,0,0,0,0,0,5304,6104,-6151,0,0,0,-5305,-6105,6150
1.288,0,0,0,16,16,16,5357,6165,-6212,16,16,16,-5358,-6166,6211
1.296,0,0,0,0,0,0,5410,6226,-6274,0,0,0,-5411,-6227,6273
1.304,0,0,0,16,16,16,5463,6287,-6336,16,16,16,-5464,-6288,6335
1.312,0,0,0,0,0,0,5517,6349,-6397,0,0,0,-5518,-6350,6396
1.32,0,0,0,16,16,16,5570,6410,-6459,16,16,16,-5571,-6411,6458
1.328,0,0,0,0,0,0,5623,6472,-6521,0,0,0,-5624,-6473,6520
1.336,0,0,0,16,16,16,5677,6534,-6584,16,16,16,-5678,-6535,6583
1.344,0,0,0,0,0,0,5731,6595,-6646,0,0,0,-5732,-6596,6645
