t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
1.144,0,0,0,0,0,0,0,0,0,0,0,0,0,-5083,5120
1.152,0,0,0,0,0,0,0,0,0,0,0,0,0,-5142,5180
1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,-5201,5239
1.168,0,0,0,0,0,0,0,0,0,0,0,0,0,-5261,5299
1.176,0,0,0,0,0,0,0,0,0,0,0,0,0,-5320,5359
1.184,0,0,0,0,0,0,0,0,0,0,0,0,0,-5380,5419
1.192,0,0,0,0,0,0,0,0,0,0,0,0,0,-5440,5479
1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-5499,5540
1.208,0,0,0,0,0,0,0,0,0,0,0,0,0,-5559,5600
1.216,0,0,0,0,0,0,0,0,0,0,0,0,0,-5620,5661
1.224,0,0,0,0,0,0,0,0,0,0,0,0,0,-5680,5721
1.232,0,0,0,0,0,0,0,0,0,0,0,0,0,-5740,5782
1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,-5801,5843
1.248,0,0,0,0,0,0,0,0,0,0,0,0,0,-5861,5904
1.256,0,0,0,0,0,0,0,0,0,0,0,0,0,-5922,5965
1.264,0,0,0,0,0,0,0,0,0,0,0,0,0,-5983,6027
1.272,0,0,0,0,0,0,0,0,0,0,0,0,0,-6044,6088
1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,-6105,6150
1.288,0,0,0,0,0,0,0,0,0,0,0,0,0,-6166,6211
1.296,0,0,0,0,0,0,0,0,0,0,0,0,0,-6227,6273
1.304,0,0,0,0,0,0,0,0,0,0,0,0,0,-6288,6335
1.312,0,0,0,0,0,0,0,0,0,0,0,0,0,-6350,6396
1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,-6411,6458
1.328,0,0,0,0,0,0,0,0,0,0,0,0,0,-6473,6520
1.336,0,0,0,0,0,0,0,0,0,0,0,0,0,-6535,6583
1.344,0,0,0,0,0,0,0,0,0,0,0,0,0,-6596,6645
1.352,0,0,0,0,0,0,0,0,0,0,0,0,0,-6658,6707
1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,-6720,6769
1.368,0,0,0,0,0,0,0,0,0,0,0,0,0,-6782,6832
