t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
6.928,0,0,0,12792,-29983,-7367,194511,203090,-185383,-116307,-37788,48041,-247350,-136521,170468
6.936,0,0,0,10490,-31087,-6069,192402,203353,-184646,-114742,-38603,47088,-246582,-136535,171509
6.944,0,0,0,8241,-32137,-4789,190321,203575,-183907,-113230,-39386,46176,-245813,-136532,172487
6.952,0,0,0,6052,-33133,-3532,188278,203758,-183171,-111776,-40135,45309,-245050,-136513,173403
6.96,0,0,0,3934,-34073,-2305,186284,203906,-182443,-110383,-40849,44486,-244296,-136480,174257
6.968,0,0,0,1896,-34956,-1115,184350,204022,-181728,-109056,-41526,43710,-243559,-136435,175050
6.976,0,0,0,-53,-35779,31,182486,204108,-181031,-107801,-42164,42982,-242844,-136382,175781
6.984,0,0,0,-1903,-36543,1125,180705,204169,-180359,-106621,-42761,42304,-242156,-136321,176453
6.992,0,0,0,-3643,-37246,2161,179019,204208,-179717,-105521,-43316,41677,-241502,-136256,177065
7,0,0,0,-5263,-37887,3130,177440,204227,-179110,-104505,-43826,41103,-240887,-136189,177619
7.008,0,0,0,-6753,-38465,4026,175979,204232,-178545,-103579,-44290,40582,-240316,-136122,178114
7.016,0,0,0,-8102,-38979,4841,174651,204226,-178027,-102747,-44706,40117,-239796,-136056,178551
7.024,0,0,0,-9301,-39429,5567,173465,204211,-177562,-102012,-45072,39709,-239331,-135995,178930
7.032,0,0,0,-10338,-39812,6198,172435,204192,-177157,-101380,-45386,39360,-238926,-135939,179252
7.04,0,0,0,-11206,-40129,6727,171571,204171,-176815,-100854,-45647,39070,-238587,-135890,179517
7.048,0,0,0,-11894,-40377,7148,170884,204152,-176543,-100438,-45853,38842,-238316,-135850,179724
7.056,0,0,0,-12395,-40557,7454,170383,204136,-176343,-100137,-46002,38677,-238119,-135821,179873
7.064,0,0,0,-12700,-40666,7641,170077,204126,-176222,-99953,-46092,38577,-237999,-135803,179963
7.072,0,0,0,-12803,-40702,7704,169974,204123,-176181,-99892,-46123,38543,-237958,-135797,179993
7.08,0,0,0,-12803,-40702,7704,169974,204123,-176181,-99892,-46123,38543,-237958,-135797,179993
7.088,0,0,0,-12424,-40718,7477,170585,204399,-176483,-99892,-46123,38543,-237958,-135797,179993
7.096,0,0,0,-11307,-40764,6805,172384,205213,-177372,-99892,-46123,38543,-237958,-135797,179993
7.104,0,0,0,-9496,-40835,5716,175302,206530,-178811,-99892,-46123,38543,-237958,-135797,179993
7.112,0,0,0,-7046,-40925,4243,179243,208301,-180751,-99892,-46123,38543,-237958,-135797,179993
7.12,0,0,0,-4025,-41026,2424,184099,210474,-183131,-99892,-46123,38543,-237958,-135797,179993
7.128,0,0,0,-503,-41130,302,189754,212990,-185892,-99892,-46123,38543,-237958,-135797,179993
7.136,0,0,0,3451,-41229,-2082,196091,215790,-188970,-99892,-46123,38543,-237958,-135797,179993
7.144,0,0,0,7769,-41316,-4687,203000,218819,-192305,-99892,-46123,38543,-237958,-135797,179993
7.152,0,0,0,12387,-41385,-7476,210375,222024,-195843,-99892,-46123,38543,-237958,-135797,179993
7.16,0,0,0,17248,-41430,-10414,218121,225359,-199532,-99892,-46123,38543,-237958,-135797,179993
7.168,0,0,0,22300,-41447,-13470,226154,228781,-203327,-99892,-46123,38543,-237958,-135797,179993
7.176,0,0,0,27499,-41433,-16617,234398,232254,-207188,-99892,-46123,38543,-237958,-135797,179993
7.184,0,0,0,32803,-41386,-19830,242786,235745,-211080,-99892,-46123,38543,-237958,-135797,179993
7.192,0,0,0,38177,-41303,-23088,251258,239226,-214972,-99892,-46123,38543,-237958,-135797,179993
7.2,0,0,0,43592,-41184,-26373,259765,242673,-218838,-99892,-46123,38543,-237958,-135797,179993
7.208,0,0,0,49020,-41030,-29667,268260,246066,-222655,-99892,-46123,38543,-237958,-135797,179993
7.216,0,0,0,54438,-40840,-32957,276704,249387,-226402,-99892,-46123,38543,-237958,-135797,179993
7.224,0,0,0,59827,-40615,-36229,285063,252621,-230062,-99892,-46123,38543,-237958,-135797,179993
7.232,0,0,0,65169,-40357,-39475,293306,255756,-233621,-99892,-46123,38543,-237958,-135797,179993
7.24,0,0,0,70448,-40066,-42683,301405,258781,-237066,-99892,-46123,38543,-237958,-135797,179993
7.248,0,0,0,75653,-39745,-45845,309336,261687,-240385,-99892,-46123,38543,-237958,-135797,179993
7.256,0,0,0,80771,-39394,-48954,317080,264468,-243570,-99892,-46123,38543,-237958,-135797,179993
7.264,0,0,0,85793,-39017,-52005,324615,267116,-246612,-99892,-46123,38543,-237958,-135797,179993
7.272,0,0,0,90710,-38615,-54991,331927,269629,-249504,-99892,-46123,38543,-237958,-135797,179993
7.28,0,0,0,95515,-38190,-57908,339000,272000,-252242,-99892,-46123,38543,-237958,-135797,179993
7.288,0,0,0,100202,-37744,-60750,345820,274229,-254820,-99892,-46123,38543,-237958,-135797,179993
7.296,0,0,0,104764,-37279,-63516,352377,276314,-257234,-99892,-46123,38543,-237958,-135797,179993
7.304,0,0,0,109197,-36798,-66201,358658,278251,-259481,-99892,-46123,38543,-237958,-135797,179993
7.312,0,0,0,113498,-36302,-68803,364656,280042,-261560,-99892,-46123,38543,-237958,-135797,179993
7.32,0,0,0,117662,-35794,-71320,370363,281686,-263468,-99892,-46123,38543,-237958,-135797,179993
